system_id,artTitle,artDate,artCatagory,artSecondCatagory,artUrl,artContent,dataSource
1,經典賽／熱身賽9連勝 中華「黃金二游」成形,2023-03-06 00:26:00,運動,,https://udn.com/news/story/10785/7011119,距離世界棒球經典賽開打愈來愈近，最後「熱車」的官辦熱身賽昨揭開序幕，中華隊的隊形逐漸明朗，22歲江坤宇、21歲鄭宗哲共組「黃金二游」，2人搭配上默契也沒問題，鄭宗哲大讚江坤宇「守備很好」，江坤宇則從他身上學習美職經驗。中華隊在官辦熱身賽首戰狂轟猛炸，靠著全場13支打3包括發全壘打以13：9擊敗中信兄弟，取得熱身賽9連勝。經典賽分組賽4地開打，中華隊的A組於8日在台中率先開戰，5隊昨齊聚中台灣展開官辦熱身賽，洲際球場安排2場賽事，富邦悍將隊以2：1擊敗荷蘭隊，中華隊晚間出戰中信兄弟隊。正式開戰倒數計時，中華隊二游幾乎底定由新生代的江坤宇、鄭宗哲聯手扛起，中心棒次則是林子偉、張育成的大聯盟級火力串聯。鄭宗哲為最早向中華隊報到的旅外選手，一直維持在比賽狀態的好手感，也從熱身賽一開始就展現，與江坤宇守位重疊，勢必要為他找出位置。「他很厲害。」鄭宗哲談到江坤宇給出評語，「他守備真的很穩，也想從他身上學習這些東西，讓未來棒球路更不一樣。」江坤宇也認為2人搭配感覺不錯，還曾聽鄭宗哲分享，球星卡諾如何面對失誤，「他失誤後會用一個手勢，做完後就是新的開始，把前面的忘掉。」,UDN
2,經典賽／李維拉真的來了！曾聽王建民說台灣很美、想親自感受,2023-03-06 09:52:00,運動,,https://udn.com/news/story/10785/7011478,世界棒球經典賽（WBC）A組預賽開幕戰開球嘉賓、美國職業棒球大聯盟（MLB）救援王李維拉今天清晨搭機抵台，他說，曾聽前隊友王建民說台灣很美，很高興能造訪與親自感受。A組預賽8日在台中洲際棒球場開打，中華隊首戰巴拿馬隊，主辦單位邀MLB史上最多652次救援成功的紐約洋基隊退役投手李維拉（Mariano Rivera）擔任開幕戰開球嘉賓。李維拉清晨5時55分抵達桃園國際機場，地勤人員在登機門手舉各式歡迎牌，歡迎「最強守護神」訪台，並開心合影留念。李維拉接受媒體聯訪表示，和王建民在洋基時就常談論台灣是美麗的地方，他此行也希望看看寺廟、人文等風貌，親自體驗台灣。至於開幕戰中華隊與巴拿馬對戰，成長於巴拿馬的李維拉說，這將是場精彩激烈的競爭。大批球迷一早守候在入境大廳迎接李維拉，當李維拉一走進入境大廳，尖叫聲此起彼落，李維拉也熱情為球迷們簽名；蕭姓球迷前一天則是先買機票飛到香港再於昨天返台，接著在機場管制區內等8小時，就只為一睹偶像風采及獲得簽名球，然後再搭車到台北市上班。李維拉是史上首名全票入選美國國家棒球名人堂的球員。台中洲際即將迎接MLB名人堂球星李維拉。圖／悍創運動行銷,UDN
3,經典賽／李維拉來了！看A組情勢許願巴拿馬、台灣雙贏,2023-03-06 09:58:00,運動,,https://udn.com/news/story/10785/7011506,大聯盟傳奇守護神李維拉（Mariano Rivera）今天凌晨抵達台灣，面對大批球迷接機展現親和力，談到世界棒球經典賽A組情勢，李維拉表示，如果巴拿馬和中華隊可以一起晉級是最棒的。經典賽A組將於8日在台灣開打，中華隊以地主身分參賽，依序面對來自巴拿馬、義大利、荷蘭、古巴隊的挑戰，賽事承辦單位悍創運動行銷邀請出身巴拿馬的傳奇球星李維拉，為中華隊與巴拿馬隊之戰擔任開球嘉賓，掀起台灣球迷期待，他也在今天凌晨抵達台灣。李維拉表示，很榮幸可以來到台灣，「雖然是第一次來，卻感覺以前就來過，因為我曾與王建民當過好幾年的隊友，聊過台灣有多美，現在終於可以感受到。」在台灣的這段時間，李維拉表示想去參觀寺廟，看看台灣風土民情。巴拿馬過去參與兩屆經典賽，勝場還未開胡、累積0勝5敗，本屆通過資格賽闖關，首場比賽就要在8日對上中華隊。李維拉被問到A組的競爭，他表示，一定會有很棒的比賽，「最希望的是巴拿馬和台灣兩支球隊可以一起晉級。」大聯盟傳奇守護神李維拉（Mariano Rivera）今天凌晨抵達台灣，面對大批球迷接機展現親和力。圖／悍創運動行銷提供大聯盟傳奇守護神李維拉（Mariano Rivera）今天凌晨抵達台灣，面對大批球迷接機展現親和力。圖／悍創運動行銷提供,UDN
4,影／洋基傳奇守護神李維拉今晨抵台 大批球迷熱情接機,2023-03-06 10:12:00,運動,,https://udn.com/news/story/10785/7011533,「2023世界棒球經典賽（WBC）」A組預賽將於3月8日在台中洲際棒球場登場，中華隊在這屆賽事與古巴、荷蘭、義大利、巴拿馬等隊同屬A組，力拚分組前兩名，以取得東京複賽門票為首要目標。主辦單位邀請大聯盟名人堂傳奇球星，洋基守護神李維拉（Mariano Rivera）擔任經典賽開幕嘉賓，為比賽開球。李維拉今天清晨搭乘長榮航空BR-31班機於5時55分抵達桃園國際機場，長榮航空地勤也特別在登機門高舉手牌，並高喊「We Love You Mo」歡迎「最強守護神」李維拉來台，李維拉除了與地勤人員合影留念，也親切地在歡迎手牌上簽名留念。一名蕭姓球迷為一睹偶像風采，不惜先飛到香港再回到桃園國際機場管制區內等候，他說雖然等了幾個小時但很值得，因為如願拿到簽名球。入選大聯盟名人堂的傳奇球星蒞臨台灣，不少球迷一早就在入境大廳等候，當李維拉步出管制區後，球迷的尖叫聲此起彼落，李維拉也熱情地為球迷們簽名，甚至還向球迷說「後面的人把東西往前傳，我會幫你們簽」。李維拉受訪時表示，這是他第一次來到台灣，感到十分高興，多年前和王建民在洋基隊時就常常談論到台灣是個美麗的地方，這次希望能夠看看台灣的寺廟、城市美麗的風景及人民，利用機會好好體驗。記者詢問對於A組預賽的看法，李維拉說，這將是一場精采的比賽，他身為巴拿馬人且受邀來台灣，希望大家都能做到最好，無論哪一隊獲勝都是一場精采的比賽。李維拉入境後與牆上的「臺灣桃園國際機場」文字合照。記者黃仲明／攝影李維拉今晨搭乘長榮航空BR-31班機於5時55分抵達桃園國際機場，長榮航空地勤也特別在登機門高舉手牌歡迎李維拉來台。記者黃仲明／攝影李維拉熱情地為球迷們簽名，甚至還向球迷說「後面的人把東西往前傳，我會幫你們簽」。記者黃仲明／攝影李維拉受訪時表示，以前常和王建民討論台灣的事物，這次會好好欣賞台灣的美。記者黃仲明／攝影,UDN
5,經典賽／大谷翔平的初體驗 瞄準日本第3冠,2023-03-06 12:15:00,運動,,https://udn.com/news/story/10785/7011804,日本「二刀流」棒球好手大谷翔平一圓參加經典賽美夢，他霸氣表示要將一身技藝展獻給球迷，目標更是直指日本在經典賽的第3冠。法新社報導，第5屆世界棒球經典賽即將開打，陣容星光閃閃的衛冕軍美國來勢洶洶，但曾在經典賽2連霸的日本在大谷翔平領銜下，也要搶隊史第3座經典賽冠軍。日本在2006年拿下第1屆經典賽冠軍，2009年衛冕成功，這次有萬眾矚目的大谷翔平加入，目標直指隊史第3冠。效力美國職棒大聯盟MLB洛杉磯天使的大谷翔平，是2021年美國聯盟（AL）的年度最有價值球員（MVP），身為首輪地主國之一的日本，將在東京巨蛋（Tokyo Dome）率日本從B組賽事晉級。大谷翔平表示，在2006年看了經典賽，讓當時只是球迷身份的他就此把參加經典賽當作夢想。大谷今年稍早時說：「光是看日本最強的選手一起打球，並和全球最強的球隊對抗，就讓人非常興奮。而現身為日本隊一員，我想拿出自己全部的本事。」本屆經典賽首輪，跟日本同在B組者還有韓國、澳洲、中國、捷克。大谷本賽季結束後可望簽下破紀錄肥約，這次經典賽是他闊別5年多後再度於日本的球場出賽。28歲的大谷翔平原本有機會在2017年上屆的經典賽就代表日本出賽，但最後因腳踝傷勢被迫退出。,UDN
6,經典賽／古巴戰兄弟端「完全體」打線 投手也是大聯盟級,2023-03-06 11:58:00,運動,,https://udn.com/news/story/10785/7011818,世界棒球經典賽官辦熱身賽進入第二天，古巴隊今天移師洲際棒球場，面對中信兄弟隊的打線，4名大聯盟野手都排上場，先發投手伊萊斯（Roenis Elias）也具有大聯盟資歷。古巴隊打線前三棒伊巴尼茲（Andy Ibanez）、孟卡達（Yoan Moncada）、羅伯特（Luis Robert）去年都有在大聯盟出賽，第五棒塞佩達斯（Yoenis Cespedes） 生涯在大聯盟8年累積165轟，有著「古巴飛彈」的名號。先發投手伊萊斯在大聯盟也有7年投球經驗，前兩年以先發為主，但後續轉牛棚，去年在水手隊登板7場，防禦率3.52。1棒 伊巴尼茲（Andy Ibanez） 二壘手2棒 孟卡達（Yoan Moncada） 三壘手3棒 羅伯特（Luis Robert） 中外野手4棒 迪斯派（Alfredo Despaigne） 指定打擊5棒 塞佩達斯（Yoenis Cespedes） 左外野手6棒 昆塔納（Lorenzo Quintana） 捕手7棒 阿魯巴耶納（Erisbel Arruebarrena） 游擊手8棒 達克（Yadir Drake）三壘手9棒 桑托斯（Roel Santos） 右外野手先發投手：伊萊斯（Roenis Elias）1棒 宋晟睿 中外野手2棒 張仁瑋 游擊手3棒 林書逸 一壘手4棒 陳子豪 指定打擊5棒 陳文杰 左外野手6棒 王政順 三壘手7棒 岳東華 二壘手8棒 福來喜 捕手9棒 岳政華 右外野手投手 鄭浩均,UDN
7,經典賽／對戰古巴先問「軟銀那個有丟嗎？」助總：想看一下,2023-03-06 12:02:00,運動,,https://udn.com/news/story/10785/7011834,世界棒球經典賽官辦熱身賽今天進入第二天，中信兄弟隊出戰「紅色閃電」古巴隊，總教練林威助賽前好奇問起：「昨天軟銀隊那個有丟嗎？」得知莫伊尼洛（Livan Moinelo）已登板小失望。古巴作為預賽A組最被看好的球隊，大聯盟選手陸續報到後，昨天以完整體出賽，以4：5輸給樂天桃猿隊，莫伊尼洛最後一局登板，僅用9球演出三上三下，先是連續K掉林承飛、黃敬瑋，張閔勛打向中外野遭到接殺。古巴來台後，已經面對中職球隊4場、累積1勝3敗，包括輸給富邦悍將隊2場、猿隊1場，擊敗味全龍隊1場，今天輪到兄弟過招。賽前被問到對戰古巴，林威助第一個就先關心莫伊尼洛前一場有沒有上場，得到昨天已投的答案回應：「想說可以看一下…。」,UDN
8,經典賽／皮亞薩30年前奪新人王正在台灣 還在全壘打大賽奪冠,2023-03-06 12:08:00,運動,,https://udn.com/news/story/10785/7011857,世界棒球經典賽暌違10年又在台灣登場，4支客隊也出現不少國內球迷熟悉的老面孔，義大利總教練皮亞薩（Mike Piazza）就是代表性人物之一，其實他在1993年就來過寶島，還在訪台期間獲選國聯新人王，直呼「台灣是幸運地」。中職草創期頻繁邀請美日球隊進行交流賽，1993年（職棒4年）10月道奇隊以大聯盟陣容「原汁原味」來台，造成極大轟動，不只吸引國人，也吸引很多美僑進場觀戰。美國道奇職棒隊來華進行友誼賽，廿九日在台北市立棒球場迎戰味全龍、俊國熊聯軍，圖為道奇隊Mike Piazza上場打擊情形。本報系資料照皮亞薩當時才24歲，生涯第2季繳出打擊率3成18、全壘打35支、打點112分的成績，奪下國聯新人王，在道奇抵台首場記者會上很開心說：「這是殊榮，加入職棒才知過去打球是多麼業餘，所有棒球觀念都從頭開始。」道奇30年前由知名教頭拉索達（Tommy Lasorda）領軍，不只皮亞薩人氣十足，郝西瑟（Orel Hershiser）、坎迪歐提（Tom Candiotti）、馬丁尼茲（Pedro Martinez）、卡洛斯（Eric Karros）、巴特勒（Brett Butler）、孟德西（Raul Mondesi）、史卓貝瑞（Darryl Strawberry）也隨隊來訪，至今仍是最重量級的大聯盟來訪球隊。值得一提的是，道奇當年對中職進行3場交流賽前，還特別在台北市立棒球場舉行全壘打大賽，道奇、味全龍和俊國熊聯隊各派3名球員參賽，一共出現5轟，皮亞薩以兩支全壘打奪冠，史卓貝瑞、呂明賜、黃忠義各有1轟。美國道奇職棒隊來華進行友誼賽，28日下午在市立棒球場進行第一次練習，圖為Mike Piazza。本報系資料照道奇來訪3場比賽打出1勝2敗，皮亞薩首戰還從「金臂人」黃平洋的手中開轟，當時黃平洋投完4局退場後，特別跑到道奇休息區向皮亞薩索取簽名球。世界棒球經典賽今晚舉辦歡迎晚宴，義大利隊總教練皮亞薩（Mike Piazza）。記者蘇志畬／攝影,UDN
9,經典賽／10年前「護國女球僮」近況曝光 網友大讚是「仙女」,2023-03-06 13:05:00,運動,,https://udn.com/news/story/10785/7011941,世界棒球經典賽將在本周三開打，本屆中華隊再度於荷蘭隊同組，不少球迷回憶10年前的「護國女球僮」Silvia，她的IG帳號也被網友神出，本名張聖訢的Silvia目前外型仍相當亮麗，且目前熱衷公益，幫助弱勢孩童和銀髮族，被網友大讚是「仙女」。中華隊2013年經典賽逆轉戰勝荷蘭，當時擔任Silvia擔任女球僮，走過荷蘭休息區，鏡頭捕捉到荷蘭球員緊盯她修長美腿的畫面，因此Silvia賽後被視為贏球功臣，獲得「護國球僮」的稱號。10年之後，經典賽再度在台灣開打，不少球迷想起當年的「護國女球僮」Silvia，網友發現她的IG帳號，目前她在公益單位「台灣美發展交流協會(TBTA)」擔任理事長，不僅平時會關懷弱勢家庭；在土耳其強震發生後，她也在第一線幫忙打包賑災物資。許多網友留言大讚她是「仙女」並寫道，「人美心也美」、「謝謝你讓這世界更美更善良」、「好快，十年了，大家都成長許多」，甚至有人好奇詢問，「這次經典賽會來嗎？」,UDN
10,經典賽／山多瓦要對楚奧特復仇 天使教頭準備現場直擊,2023-03-06 13:24:00,運動,,https://udn.com/news/story/10785/7012111,天使隊26歲左投山多瓦（Patrick Sandoval）今天在熱身賽登板，對紅人隊先發3局失1分，完成世界棒球經典賽開打前最後實戰，再來就是13日在經典賽C組對決奪冠呼聲頗高的美國。山多瓦今天被揮出2支安打、飆出6次三振，天使終場以8：5獲勝， 他在「仙人掌聯盟」熱身賽兩場先發合計5局只失1分，接下來將向墨西哥隊報到，和道奇隊烏力亞斯（Julio Urias）、太空人隊厄奎迪（Jose Urquidy）、 費城人隊沃克（Taijuan Walker）共組先發投手群。經典賽8日開打，C組賽事12日點燃戰火，墨西哥首戰哥倫比亞確定推出烏力亞斯，第2戰交給山多瓦，將是分組賽最硬的一戰。山多瓦在天使4季合計10勝24敗，去年27場先發投出6勝9敗、防禦率2.91成為代表作，官網形容他今年才剛起步，就要上演兩場大秀，包括經典賽抗美、4月8日天使主場開幕戰登板。大聯新球季3月31日開打，天使先在客場進行6連戰，和運動家、水手隊交手，大谷翔平將在開季首戰先發，山多瓦扛起第2戰，4月8日再回主場對決藍鳥隊。他說：「新球季主場首戰登板是極大榮耀，沒想到會有這種機會，真的很驚訝、也很榮幸被選中。」墨西哥總教練吉爾（Benji Gil）是天使內野教練，面對挑戰經典賽2連霸的美國，設定山多瓦先發4局，用球數控制在50到55球。山多瓦認為，美國擁有可能是史上最偉大的打線，此役將是巨大挑戰，讓他非常期待對決。天使球星楚奧特（Mike Trout）首次參加經典賽、擔任美國隊長，最近在隊上投打練習時，面對山多瓦不但開轟，還搞笑甩棒；山多瓦認為，美國擁有可能是史上最偉大的打線，經典賽對決將是巨大挑戰，讓他非常期待對決，也想對楚奧特「復仇」。天使總教練尼文（Phil Nevin）強調會以球迷身分好好欣賞山多瓦、楚奧特在經典賽交手，也認為山多瓦去年有突破性表現，對決美國是理所當然的事，他說：「我才剛拿到票，到時會坐在本壘板後方的前排座位觀戰。」,UDN
