system_id,word,ner
1,四,CARDINAL
1,中華隊,GPE
1,兩萬,CARDINAL
1,黃牛掃,PERSON
2,今天,DATE
2,今天,DATE
2,台灣,GPE
2,憲哥,PERSON
2,丁元凱,PERSON
2,五月天,DATE
2,中華隊,ORG
2,台灣,GPE
2,丁丁,PERSON
3,今天,DATE
4,東森,ORG
4,張祐寧,PERSON
4,林襄,PERSON
4,林襄,PERSON
4,台,GPE
4,日,GPE
4,兩,CARDINAL
4,近日,DATE
4,林襄,PERSON
4,中華,GPE
4,林襄,PERSON
4,世界棒球經典賽,EVENT
4,這幾天,DATE
4,中華隊,ORG
4,中林襄,PERSON
4,張宛如,PERSON
4,林襄,PERSON
4,昨日,DATE
4,台灣隊,ORG
4,萬,CARDINAL
4,三小時,TIME
5,南港,GPE
5,中華巴拿馬,GPE
5,南港,GPE
6,陳秋雲,PERSON
6,李維拉,PERSON
6,台中,GPE
6,今天,DATE
6,台中,GPE
6,美國,GPE
6,李維拉拉,PERSON
6,台中,GPE
6,盧秀燕,PERSON
6,李維拉,PERSON
6,美國,GPE
6,台中市政府,ORG
6,台中,GPE
6,盧秀燕,PERSON
6,李維拉,PERSON
6,台灣,GPE
6,台中,GPE
6,東勢,GPE
6,外埔,GPE
6,李維拉,PERSON
6,盧秀燕,PERSON
6,台中,GPE
6,李維拉,PERSON
6,李,PERSON
7,悍創,ORG
7,中華隊,ORG
7,中華隊,GPE
7,中華隊,ORG
8,中華隊,ORG
8,東京,GPE
8,王建民,PERSON
8,日本,GPE
8,日本,NORP
8,王建民,PERSON
8,九,CARDINAL
8,日本,GPE
8,美國,GPE
9,今晚,TIME
9,巴拿馬,GPE
9,中華隊,GPE
9,早上,TIME
9,巴拿馬,GPE
9,晚上,TIME
10,米納桑空巴哇,PERSON
10,王,PERSON
10,王日,PERSON
10,三,CARDINAL
10,林北,PERSON
11,第二,ORDINAL
11,中華隊,ORG
11,巴拿馬,GPE
11,中華隊,ORG
11,十分以上,CARDINAL
11,中華隊,ORG
11,今晚,TIME
13,阿肥,PERSON
13,世界棒球經典賽,EVENT
14,今天,DATE
14,古巴,GPE
14,荷蘭,GPE
15,三個月,DATE
15,華視,ORG
15,王識賢,PERSON
15,世棒經典賽,EVENT
15,東森三檔局,ORG
15,中華隊,GPE
16,聯合報,WORK_OF_ART
16,游振昇,PERSON
16,李維拉,PERSON
16,大甲,GPE
16,瀾宮,GPE
16,世界棒球經典賽組,EVENT
16,今晚,TIME
16,台中洲際棒球場,FAC
16,美國,GPE
16,洋基隊,ORG
16,李維拉,PERSON
16,今天,DATE
16,中午,TIME
16,大甲鎮瀾宮,FAC
16,美國職棒名人堂,ORG
16,洋基隊,ORG
16,李維拉,PERSON
16,今天,DATE
16,王建民,PERSON
16,中午,TIME
16,大甲鎮瀾宮,FAC
16,媽祖,GPE
16,大甲鎮瀾宮,ORG
16,鄭銘坤,PERSON
16,李維拉,PERSON
16,美國職棒大聯盟,ORG
16,紐約洋基,GPE
16,李,PERSON
16,維拉,PERSON
16,昨天,DATE
16,台北市南港區,GPE
16,中國信託金融園區,FAC
16,李維拉,PERSON
16,中國信託商業銀行,ORG
16,中華民國棒球協會,ORG
17,高雄,GPE
17,億,CARDINAL
17,晚上,TIME
17,中華隊,ORG
17,巴拿馬,GPE
17,中華,GPE
17,今晚,TIME
18,荷蘭路,FAC
18,古巴,GPE
18,古巴,GPE
18,荷蘭,GPE
18,古巴,GPE
18,中華隊,ORG
18,中華隊,ORG
19,世界棒球經典賽,EVENT
19,兩,CARDINAL
19,大聯盟,ORG
19,經典賽,EVENT
19,世足賽,EVENT
20,下午,TIME
20,星巴克,ORG
20,洲際,LOC
21,晚上,TIME
21,中華隊,ORG
21,巴拿馬,GPE
21,第二,ORDINAL
21,里維拉,PERSON
21,大樹哥,PERSON
21,建仔,PERSON
21,牛棚,ORG
21,巴拿馬,GPE
22,小魯周,PERSON
22,台灣隊,ORG
22,大聯盟,ORG
22,四,CARDINAL
22,鞏冠,PERSON
22,三,CARDINAL
22,老王,PERSON
22,台灣,NORP
22,台灣,GPE
22,去年,DATE
22,台灣,NORP
22,梅西,PERSON
22,去年,DATE
22,世足,ORG
22,台灣隊,ORG
23,經典賽,EVENT
23,巴拿馬,GPE
23,中華隊,ORG
23,王柏融,PERSON
23,吳政紘,PERSON
23,台中,GPE
23,中華隊,ORG
23,鄭宗哲,PERSON
23,二,CARDINAL
23,林子偉,PERSON
23,七棒,ORG
23,江坤宇,PERSON
23,高宇杰,PERSON
23,陳傑憲,PERSON
23,胡智為,PERSON
24,阿肥,ORG
24,中華隊,ORG
24,巴拿馬,GPE
24,中華隊,ORG
25,聯合報,WORK_OF_ART
25,蘇志畬,PERSON
25,荷蘭,GPE
25,安川普,PERSON
25,阿魯巴,PERSON
25,荷蘭隊,ORG
25,今天,DATE
25,世界棒球經典賽,EVENT
25,古巴隊,ORG
25,第場,ORDINAL
25,川普,PERSON
25,阿魯巴群島,LOC
25,荷蘭,GPE
25,古巴,GPE
25,荷蘭,GPE
25,帕拉修斯,PERSON
25,川普,PERSON
25,二,CARDINAL
25,三,CARDINAL
25,荷蘭隊,GPE
25,荷蘭隊,ORG
25,穆倫斯,PERSON
25,川普,PERSON
25,荷屬,GPE
25,阿魯巴群島,LOC
25,川普,PERSON
25,凌晨點,TIME
25,荷蘭,GPE
25,川普,PERSON
25,荷蘭,GPE
25,布洛克,PERSON
25,第局,ORG
25,穆倫斯,PERSON
25,今天,DATE
25,古巴隊,ORG
25,強森,PERSON
25,明天,DATE
25,三,CARDINAL
25,迪斯派,PERSON
25,今天,DATE
25,強森,PERSON
25,川威武,PERSON
26,阿球,PERSON
26,晚上七點,TIME
26,中華隊,ORG
26,第戰,EVENT
26,巴拿馬,GPE
26,中華隊,ORG
26,中華隊,ORG
26,賀姆賀,PERSON
28,朱祖儀,PERSON
28,年月,DATE
28,日,GPE
28,中華隊,ORG
28,經典賽,EVENT
28,千,CARDINAL
28,世界棒球經典賽,EVENT
28,今晚,TIME
28,中華隊,ORG
28,巴拿馬,GPE
28,胡,PERSON
28,中華隊,ORG
28,東京巨蛋,FAC
28,中華隊,ORG
28,上個月,DATE
28,中華隊,ORG
28,東京,GPE
28,經典賽,EVENT
28,吳念庭,PERSON
28,中華隊,ORG
28,東京,GPE
28,千,CARDINAL
28,洪孟楷,PERSON
28,國民黨,ORG
28,洪孟楷,PERSON
28,日發文,PERSON
28,中華隊,ORG
28,東京,GPE
28,洪孟楷,PERSON
28,中華隊,ORG
28,洪孟楷,PERSON
28,風堂,ORG
28,台灣,NORP
28,經典賽,EVENT
28,拉麵店風堂,ORG
28,當日,DATE
28,風堂中山店,ORG
28,隔天,DATE
28,台風堂,ORG
28,中華隊,ORG
28,東京,GPE
28,中華隊,ORG
28,台,GPE
28,二,CARDINAL
28,三,CARDINAL
28,西米,GPE
28,四,CARDINAL
29,張育成,PERSON
29,三棒,GPE
29,四棒,GPE
29,張育成,PERSON
30,台灣,GPE
30,巴,GPE
30,台灣,GPE
31,世界棒球經典賽組小組,ORG
31,今天,DATE
31,荷蘭,GPE
31,古巴,GPE
31,第二,ORDINAL
31,巴拿馬,GPE
31,台灣,GPE
31,台灣,GPE
31,台灣,GPE
31,台灣,GPE
32,電影台,ORG
32,十年,DATE
33,星期五,DATE
33,二,CARDINAL
33,中華隊,ORG
33,日本,GPE
33,大谷,PERSON
34,台灣隊,ORG
34,中華隊,ORG
34,巴拿馬,GPE
34,經典賽,EVENT
34,中華隊,ORG
34,近幾年,DATE
34,中華隊,ORG
34,三立,PERSON
34,台灣隊,ORG
35,王建民,PERSON
35,王建民,PERSON
35,中華隊,GPE
35,今天,DATE
36,小魯弟,PERSON
36,新竹,GPE
36,台中,GPE
36,新竹,GPE
36,新竹,GPE
37,台灣,GPE
37,拉基,PERSON
37,美國人,NORP
37,美國,GPE
38,中華隊,ORG
38,今天,DATE
38,中華隊,ORG
38,巴拿馬瑟瑟,PERSON
39,東奧,ORG
39,台灣隊,ORG
39,中華隊,ORG
40,巴拿馬,GPE
40,中華隊,ORG
41,三立新聞網,ORG
41,蕭保祥,PERSON
41,台灣隊,GPE
41,李維拉,PERSON
41,王建民,PERSON
41,世界棒球經典賽,EVENT
41,晚間,TIME
41,台中洲際球場,FAC
41,台灣隊,ORG
41,巴拿馬,GPE
41,賴清德,PERSON
41,中華棒協,ORG
41,辜仲諒,PERSON
41,台中,GPE
41,盧秀燕,PERSON
41,賴清德,PERSON
41,王建民,PERSON
41,李維拉,PERSON
41,蔡英文,PERSON
41,台灣隊,ORG
41,台灣,GPE
41,台灣,GPE
41,王建民,PERSON
41,李維拉,PERSON
41,李維拉,PERSON
41,台灣,GPE
41,王建民,PERSON
41,十幾年,DATE
42,日本人,NORP
42,中華隊,ORG
42,王建民,PERSON
42,日本島國,GPE
42,大谷,GPE
42,王建民,PERSON
44,本魯,PERSON
45,新竹棒球場,FAC
45,大聯盟,ORG
45,新竹棒球場,FAC
46,經典賽,EVENT
46,四,CARDINAL
46,兩,CARDINAL
46,台灣,GPE
46,中華,GPE
46,中華隊,ORG
