system_id,word,pos
1,不,D
1,是,SHI
1,啊,T
1,你,Nh
1,要不要,D
1,先,D
1,看下,VC
1,售,VD
1,票,Na
1,狀況,Na
1,啊,T
1,最,Dfa
1,貴,VH
1,的,DE
1,張內野,Nb
1,最,Dfa
1,便宜,VH
1,的,DE
1,連,Nb
1,外野,Nc
1,都,D
1,賣,VD
1,結果,Dk
1,四,Neu
1,場,Nf
1,中華隊,Na
1,的,DE
1,賽事,Na
1,都,D
1,幾乎,Da
1,售完,VD
1,了,Di
1,可以,D
1,容納,VJ
1,兩萬,Neu
1,人,Na
1,的,DE
1,洲際,Nc
1,這樣,VH
1,還,D
1,算,VG
1,過氣,VH
1,嗎,T
1,沒,VJ
1,熱度,Na
1,黃牛掃,Nb
1,幹嘛,VA
2,是,SHI
2,就,D
2,在,P
2,今天,Nd
2,眾所矚目,VH
2,的,DE
2,地區,Nc
2,分組賽,Na
2,就,D
2,在,P
2,今天,Nd
2,/,FW
2,號,Na
2,即將,D
2,登場,VA
2,我們,Nh
2,台灣,Nc
2,新聞界,Nc
2,的,DE
2,憲哥,Nb
2,兼,VG
2,熱鬧,VH
2,又,D
2,熱血,Na
2,主播,Na
2,丁元凱,Nb
2,預告,VE
2,將,D
2,會,D
2,組成,VG
2,轉播,VC
2,五月,Nd
2,天,Na
2,在,P
2,這,Nep
2,次,Nf
2,賽事,Na
2,中,Ng
2,服務,VC
2,廣大,VH
2,的,DE
2,球迷,Na
2,與,Caa
2,鄉民,Na
2,起,VC
2,幫,P
2,中華隊,Na
2,加油,VB
2,加油,VB
2,///,FW
2,曾,D
2,獲得,VJ
2,老闆,Na
2,賞識,VJ
2,的,DE
2,熱血,Na
2,主播,Na
2,讓,VL
2,小弟,Na
2,不經,VH
2,也,D
2,拭目以待,VA
2,///,FW
2,有,V_2
2,沒,D
2,有,V_2
2,台灣,Nc
2,超,VJ
2,熱血,Na
2,丁丁,Nb
2,主播,Na
2,即將,D
2,為,VG
2,活躍,VH
2,於,P
2,這,Nep
2,次,Nf
2,賽事,Na
2,的,DE
2,瓜,Na
2,啊,T
2,///,FW
2,///,FW
3,剛好,VH
3,想到,VE
3,今天,Nd
3,經典賽,Na
3,開打,VH
3,想當然,D
3,而,Cbb
3,經典賽,Na
3,例行,A
3,的,DE
3,鍋貼,Na
3,想必,D
3,又,D
3,要,D
3,上演,VAC
3,看來,D
3,免不了,D
3,要,D
3,準備,VF
3,抓,VC
3,戰犯,Na
3,了,T
3,等等,Cab
3,來,D
3,看,VE
3,如何,D
4,備註,VE
4,請,VF
4,放,VC
4,最後,Nd
4,面違,VC
4,者,Na
4,新聞,Na
4,文章,Na
4,刪除,VC
4,媒體,Na
4,來源,Na
4,東森,Nc
4,新聞,Na
4,記者,Na
4,署名,VC
4,責任,Na
4,編輯,Na
4,張祐寧,Nb
4,完整,VH
4,新聞,Na
4,標題,Na
4,經典賽,Na
4,林襄,Nb
4,高清,A
4,特寫,Na
4,照,P
4,曝光網,Na
4,緊盯,VC
4,部位,Na
4,超美,Nb
4,完整,VH
4,新聞,Na
4,內文,Na
4,被,P
4,網友,Na
4,封為,VG
4,流量,Na
4,密碼,Na
4,的,DE
4,林襄,Nb
4,，,COMMACATEGORY
4,任職,VG
4,於,P
4,中職,Na
4,樂天桃猿,Nb
4,啦啦隊,Na
4,成員,Na
4,，,COMMACATEGORY
4,擁有,VJ
4,天使,Na
4,臉蛋,Na
4,魔鬼,Na
4,身材,Na
4,，,COMMACATEGORY
4,成為,VG
4,新代,A
4,女神,Na
4,，,COMMACATEGORY
4,在,P
4,台,Nc
4,日,Nc
4,兩,Neu
4,地,Na
4,有,V_2
4,票,Na
4,死忠,VH
4,粉絲,Na
4,近日,Nd
4,林襄,Nb
4,曬出,VJ
4,身穿,VJ
4,中華,Nc
4,啦啦隊,Na
4,應,D
4,援服,VC
4,的,DE
4,高清,A
4,美照,Na
4,以及,Caa
4,熱舞,Na
4,影片,Na
4,，,COMMACATEGORY
4,好,VH
4,身材,Na
4,讓,VL
4,粉絲,Na
4,大飽眼福,VH
4,之外,Ng
4,，,COMMACATEGORY
4,身體,Na
4,部位,Na
4,也,D
4,讓,VL
4,大家,Nh
4,歪樓,VA
4,狂讚,VE
4,林襄,Nb
4,被,P
4,選進,VC
4,年,Nf
4,世界,Nc
4,棒球,Na
4,經典賽,Na
4,擔任,VG
4,經典,Na
4,女孩,Na
4,，,COMMACATEGORY
4,這,Nep
4,幾,Neu
4,天,Nf
4,也,D
4,常常,D
4,身穿,VJ
4,隊服,Na
4,現身,VA
4,，,COMMACATEGORY
4,近日,Nd
4,她,Nh
4,在,P
4,分享,VJ
4,系列,Na
4,高清,Na
4,特寫照,Na
4,，,COMMACATEGORY
4,只,Da
4,見,VE
4,中華隊,Na
4,服裝,Na
4,整體,Na
4,以,P
4,國旗,Na
4,配色,VA
4,為主,VI
4,，,COMMACATEGORY
4,照片,Na
4,中,Ng
4,林襄,Nb
4,不斷,D
4,對著,P
4,鏡頭,Na
4,互動,VA
4,，,COMMACATEGORY
4,下,Ncd
4,對著,P
4,前方,Ncd
4,比,VC
4,，,COMMACATEGORY
4,下,Ncd
4,比出,VC
4,手指,Na
4,愛心,Na
4,，,COMMACATEGORY
4,張宛如,Nb
4,芭比,Nb
4,的,DE
4,精緻,VH
4,臉龐,Na
4,，,COMMACATEGORY
4,加上,Cbb
4,親民,VH
4,無距離感,VH
4,的,DE
4,模樣,Na
4,，,COMMACATEGORY
4,下子,Na
4,就,D
4,吸引,VJ
4,萬,Neu
4,人,Na
4,狂讚,VC
4,值得,VH
4,注意,VK
4,的,DE
4,是,SHI
4,，,COMMACATEGORY
4,有,V_2
4,幾,Neu
4,張,Nf
4,照片,Na
4,舉起,VC
4,手,Na
4,來,D
4,比出,VC
4,，,COMMACATEGORY
4,因為,Cbb
4,無,VJ
4,袖,Na
4,的,DE
4,關係,Na
4,，,COMMACATEGORY
4,意外,VK
4,讓,VL
4,無,VJ
4,毛,Na
4,部位,Na
4,曝光,VH
4,，,COMMACATEGORY
4,就,D
4,有,V_2
4,網友,Na
4,大讚,VC
4,腋,Na
4,下,Ncd
4,超美,VH
4,，,COMMACATEGORY
4,其他,Neqa
4,網友,Na
4,看,VC
4,了,Di
4,紛紛,D
4,笑翻,VC
4,而,Cbb
4,林襄,Nb
4,昨日,Nd
4,也,D
4,上,VCL
4,傳段,Na
4,替,P
4,台灣隊,Na
4,應援,VC
4,的,DE
4,影片,Na
4,，,COMMACATEGORY
4,短短,VH
4,天,Na
4,的,DE
4,時間,Na
4,，,COMMACATEGORY
4,就,D
4,有,V_2
4,萬,Neu
4,人,Na
4,按讚,VA
4,，,COMMACATEGORY
4,網友,Na
4,看,VC
4,了,Di
4,不禁,VL
4,留言,VA
4,誇讚,VC
4,，,COMMACATEGORY
4,長髮,Na
4,飄逸,VH
4,短短,VH
4,個,Di
4,影片,Na
4,我,Nh
4,打算,VF
4,看,VC
4,三,Neu
4,小時,Na
4,髮質,Na
4,好好,VH
4,天使,Na
4,般,Ng
4,的,DE
4,笑容,Na
4,女神,Na
4,超正,Na
4,真的,D
4,好,Dfa
4,想,VE
4,去,VCL
4,現場,Nc
4,看,VC
4,妳,Nh
4,完整,VH
4,新聞,Na
4,連結,VC
4,或,Caa
4,短,VH
4,網址,Na
4,不可,D
4,用,VC
4,等,Cab
4,轉載,VC
4,媒體,Na
4,///,FW
4,備註,VE
5,如,P
5,題,Na
5,，,COMMACATEGORY
5,抬頭,VA
5,晚餐,Na
5,肥肥,VH
5,朋友,Na
5,說,VE
5,他,Nh
5,跟,P
5,人,Na
5,約好,VE
5,要,D
5,去,VCL
5,南港,Nc
5,看,VC
5,大,VH
5,螢幕,Na
5,中華,Nc
5,巴拿馬,Nc
5,轉播,VC
5,，,COMMACATEGORY
5,只是,Cbb
5,還,D
5,沒想好,VE
5,該,D
5,吃,VC
5,什麼,Nep
5,配,VC
5,球賽,Na
5,，,COMMACATEGORY
5,我,Nh
5,也,D
5,不,D
5,是,SHI
5,很,Dfa
5,清楚,VH
5,南港,Nc
5,有,V_2
5,什麼,Nep
5,吃,VC
5,的,DE
5,大家,Nh
5,有,V_2
5,推薦,VC
5,吃,VC
5,什麼,Nep
5,嗎,T
5,有,V_2
5,沒,D
5,有,V_2
5,八卦,Na
6,媒體,Na
6,來源,Na
6,聯合,VC
6,記者,Na
6,署名,VC
6,陳秋雲,Nb
6,完整,VH
6,新聞,Na
6,標題,Na
6,李維拉,Nb
6,獲頒,VJ
6,台中,Nc
6,榮譽,Na
6,市民,Na
6,第,Neu
6,次,Nf
6,喝,VC
6,珍奶,Na
6,端,VC
6,杯,Nf
6,差點,D
6,鬥雞眼,Na
6,完整,VH
6,新聞,Na
6,內文,Na
6,世界,Nc
6,棒球,Na
6,經典,Na
6,賽組,Na
6,預賽,Na
6,今天,Nd
6,在,P
6,台中,Nc
6,開打,VH
6,，,COMMACATEGORY
6,美國,Nc
6,職棒,Na
6,名人堂,Nc
6,球星,Na
6,李維拉拉,Nb
6,開球,VA
6,，,COMMACATEGORY
6,台中,Nc
6,市長,Na
6,盧秀燕,Nb
6,昨,Nd
6,宴請,VC
6,並,Cbb
6,頒發,VD
