system_id,sentence
1,不是啊
1,你要不要先看下售票狀況啊
1,最貴的張內野最便宜的連外野都賣
1,結果四場中華隊的賽事都幾乎售完了
1,可以容納兩萬人的洲際
1,這樣還算過氣嗎
1,沒熱度黃牛掃幹嘛
2,是就在今天
2,眾所矚目的
2,地區分組賽
2,就在今天/號即將登場
2,我們台灣新聞界的
2,憲哥
2,兼
2,熱鬧
2,又
2,熱血
2,主播
2,丁元凱預告將會組成轉播
2,五月天
2,在這次賽事中服務廣大的球迷與鄉民
2,起幫中華隊加油加油
2,///
2,曾獲得老闆賞識的
2,熱血
2,主播
2,讓小弟不經也拭目以待
2,///
2,有沒有台灣
2,超熱血
2,丁丁
2,主播即將為活躍於這次
2,賽事的瓜啊
2,///
2,///
3,剛好想到
3,今天經典賽開打
3,想當然而
3,經典賽例行的鍋貼想必又要上演
3,看來免不了要準備抓戰犯了
3,等等來看
3,如何
4,備註請放最後面違者新聞文章刪除
4,媒體來源
4,東森新聞
4,記者署名
4,責任編輯張祐寧
4,完整新聞標題
4,經典賽林襄高清特寫照曝光網緊盯部位超美
4,完整新聞內文
4,被網友封為流量密碼的林襄，任職於中職樂天桃猿啦啦隊
4,成員，擁有天使臉蛋魔鬼身材，成為新代女神，在台日兩地有票死忠粉絲
4,近日林襄曬出身穿中華啦啦隊應援服的高清美照以及熱舞影片，好身材讓粉絲大飽眼福之外，身體部位也讓大家歪樓狂讚
4,林襄被選進年世界棒球經典賽擔任經典女孩，這幾天也常常身穿隊服現身，近日她在分享系列高清特寫照，只見中華隊服裝整體以國旗配色為主，照片中林襄不斷對著鏡頭互動，下對著前方比，下比出手指愛心，張宛如芭比的精緻臉龐，加上親民無距離感的模樣，下子就吸引萬人狂讚
4,值得注意的是，有幾張照片舉起手
4,來比出，因為無袖的關係，意外讓無毛部位曝光，就有網友大讚腋下超美，其他網友看了紛紛笑翻
4,而林襄昨日也上傳段替台灣隊應援的影片，短短天的時間，就有萬人按讚，網友看了不禁留言誇讚，長髮飄逸短短個影片我打算看三小時髮質好好天使般的笑容女神超正真的好想去現場看妳
4,完整新聞連結或短網址不可用等轉載媒體
4,///
4,備註
5,如題，抬頭
5,晚餐肥肥朋友說他跟人約好要去南港看大螢幕中華巴拿馬轉播，
5,只是還沒想好該吃什麼配球賽，
5,我也不是很清楚南港有什麼吃的
5,大家有推薦吃什麼嗎
5,有沒有八卦
6,媒體來源聯合
6,記者署名陳秋雲
6,完整新聞標題
6,李維拉獲頒台中榮譽市民第次喝珍奶端杯差點鬥雞眼
6,完整新聞內文
6,世界棒球經典賽組預賽今天在台中開打，美國職棒名人堂球星李維拉拉開球，台中市長盧秀燕昨宴請並頒發榮譽市民證書，表達禮遇與歡迎
6,李維拉是第位全票通過入選美國職棒大聯盟名人堂的球星，台中市政府特別頒發榮譽市民證書及獎章
6,台中市長盧秀燕熱情迎接李維拉到來，準備充滿台灣味的棒球九宮格水果禮盒，介紹樣台中等地盛產的水果，包括東勢茂谷柑太平枇杷外埔火龍果新社葡萄等
6,李維拉品嘗後表示，很高興有機會次吃到這麼多美味的水果，過去沒吃過批杷與釋迦，感覺口味獨特新奇，最喜歡的是火龍果
6,盧秀燕介紹台中是珍珠奶茶的發源地，李維拉首次品嘗，好奇舉杯端詳
6,另致贈湖心亭漆藝餅盒台中太平藍染領帶及絲巾，獨特風格的客家手工藍染作品
6,完整新聞連結或短網址不可用等轉載媒體
6,//////
6,備註讚啦，李家之光
7,不然悍創幹嘛排假日連賽
7,老闆，這次中華隊有地主優勢，我們排隔天休，讓中華隊養精蓄銳，用最好的狀態去面對比賽
7,嗯，那中華隊會贏嗎
7,好的老闆，就排假日晚午場
8,辦到現在中華隊只停留在東京
8,我記得有屆
8,王建民血洗日本讓日本掛蛋
8,如果再讓王建民投滿九局
8,日本大概會輸了
8,這屆會不會是最接近去美國的屆
